Gene ID,Gene Description,Gene Accession Number
2323,P62 mRNA,M88108_at
2324,SNF2L1 SNF2 (sucrose nonfermenting; yeast; homolog)-like 1,M88163_at
2325,FKBP4 FK506-binding protein 4 (59kD),M88279_at
2326,T-CELL SURFACE PROTEIN TACTILE PRECURSOR,M88282_at
2327,SERUM PROTEIN MSE55,M88338_at
2328,ELP-1 mRNA sequence,M88458_at
2329,MVK Mevalonate kinase,M88468_at
2330,Zinc finger protein (SRE-ZBP) mRNA; 3' end,M88579_at
2331,NEUROMEDIN K RECEPTOR,M89473_at
2332,High affinity IgE receptor beta chain gene,M89796_rna1_at
2333,GB DEF = 5-HT1D-type serotonin receptor gene,M89955_at
2334,IGB Immunoglobulin-associated beta (B29),M89957_at
2335,GCK Glucokinase (hexokinase 4; maturity onset diabetes of the young 2),M90299_at
2336,A-KINASE ANCHOR PROTEIN 79,M90359_at
2337,Zona pellucida glycoprotein 2 (ZP2) mRNA,M90366_at
2338,GFPT Glutamine-fructose-6-phosphate transaminase,M90516_at
2339,GLCLC Glutamate-cysteine ligase (gamma-glutamylcysteine synthetase); catalytic (72.8kD),M90656_at
2340,TUMOR-ASSOCIATED ANTIGEN L6,M90657_at
2341,CTSS Cathepsin S,M90696_at
2342,FKBP3 FK506-binding protein 3 (25kD),M90820_at
2343,AMP deaminase (AMPD2) mRNA,M91029_cds2_at
2344,G-gamma globin gene extracted from H.sapiens G-gamma globin and A-gamma globin genes's,M91036_rna1_at
2345,DNA-binding protein (HRC1) mRNA,M91083_at
2346,ICSBP1 Interferon consensus sequence binding protein 1,M91196_at
2347,ACADM Acyl-Coenzyme A dehydrogenase; C-4 to C-12 straight chain,M91432_at
2348,GB DEF = Kazal-type serine proteinase (HUSI-II) gene,M91438_at
2349,HTR1E 5-hydroxytryptamine (serotonin) receptor 1E,M91467_at
2350,Br140 mRNA,M91585_at
2351,ZNF76 Zinc finger protein 76,M91592_at
2352,Ubiquitin carrier protein (E2-EPF) mRNA,M91670_at
2353,CCND3 Cyclin D3,M92287_at
2354,DIHYDROPRYRIDINE-SENSITIVE L-TYPE; CALCIUM CHANNEL BETA-1-B1 SUBUNIT,M92303_at
2355,B94 PROTEIN,M92357_at
2356,MDM2 Mouse double minute 2; human homolog of; p53-binding protein,M92424_at
2357,GUC2D Guanylate cyclase 2D; membrane (retina-specific),M92432_at
2358,130 KD LEUCINE-RICH PROTEIN,M92439_at
2359,LTR mRNA; 3' end of coding region and 3' flank,M92449_at
2360,CTGF Connective tissue growth factor,M92934_at
2361,MAJOR GASTROINTESTINAL TUMOR-ASSOCIATED PROTEIN GA733-2 PRECURSOR,M93036_at
2362,LEUKOCYTE ELASTASE INHIBITOR,M93056_at
2363,D-BETA-HYDROXYBUTYRATE DEHYDROGENASE PRECURSOR,M93107_at
2364,INSM1 Insulinoma-associated 1 (symbol provisional),M93119_at
2365,M6PR Mannose receptor,M93221_at
2366,Pancreatic lipase related protein 1 (PLRP1) mRNA,M93283_at
2367,Pancreatic lipase related protein 2 (PLRP2) mRNA,M93284_at
2368,Methylmalonate semialdehyde dehydrogenase gene,M93405_at
2369,ACVR2 Activin A receptor; type II,M93415_at
2370,PTPN12 Protein tyrosine phosphatase; non-receptor type 12,M93425_at
2371,PTPRZ Protein tyrosine phosphatase; receptor-type; zeta polypeptide,M93426_at
2372,Paired box gene (PAX6) homologue,M93650_at
2373,NOS3 Nitric oxide synthase 3 (endothelial cell),M93718_at
2374,DHODH Dihydroorotate dehydrogenase,M94065_at
2375,LOR Loricrin,M94077_at
2376,Cadherin-associated protein-related (cap-r) mRNA,M94151_at
2377,HGL Heregulin alpha,M94167_at
2378,MDK Midkine (neurite growth-promoting factor 2),M94250_at
2379,CAPG Capping protein (actin filament); gelsolin-like,M94345_at
2380,LAMB2 Laminin; beta 2 (laminin S),M94362_at
2381,HUMMLC2At; Homo sapiens; ; 593 base-pairs,M94547_at
2382,SSBP Single-stranded DNA-binding protein,M94556_at
2383,Heterogeneous nuclear ribonucleoprotein D (hnRNP D); partial cds; clone cDx4,M94630_at
2384,GB DEF = Recombination acitivating protein (RAG2) gene; last exon,M94633_at
2385,FATTY ACID-BINDING PROTEIN; EPIDERMAL,M94856_at
2386,TSPY Testis specific protein; Y-linked,M94893_at
2387,SLC6A3 Solute carrier family 6 (neurotransmitter transporter; dopamine); member 3,M95167_at
2388,ALPHA-ACTININ 1; CYTOSKELETAL ISOFORM,M95178_at
2389,SLC5A2 Solute carrier family 5 (sodium/glucose cotransporter); member 2,M95549_at
2390,COL9A2 Collagen; type IX; alpha 2,M95610_at
2391,PBGD gene (hydroxymethylbilane synthase) extracted from Homo sapiens hydroxymethylbilane synthase gene,M95623_cds1_at
2392,Angio-associated migratory cell protein (AAMP) mRNA,M95627_at
2393,PLCB2 Phospholipase C; beta 2,M95678_at
2394,BRAF V-raf murine sarcoma viral oncogene homolog B1,M95712_at
2395,CENPC Centromere autoantigen C,M95724_at
2396,CTB Chitobiase; di-N-acetyl-,M95767_at
2397,22kDa smooth muscle protein (SM22) mRNA,M95787_at
2398,BASIC TRANSCRIPTION FACTOR 62 KD SUBUNIT,M95809_at
2399,Leucine zipper on the D14S46E locus mRNA,M95925_at
2400,Homeobox protein (PHOX1) mRNA; 3' end,M95929_at
2401,Azurocidin gene,M96326_rna1_at
2402,Pur (pur-alpha) mRNA,M96684_at
2403,NSCL-1 mRNA sequence,M96739_at
2404,HELIX-LOOP-HELIX PROTEIN 2,M96740_at
2405,Rod outer segment membrane protein 1 (ROM1) gene exons 1-3,M96759_rna1_at
2406,GJA4 Gap junction protein; alpha 4; 37kD (connexin 37),M96789_at
2407,SPTBN1 Spectrin; beta; non-erythrocytic 1,M96803_at
2408,DPP6 Dipeptidylpeptidase VI,M96859_at
2409,PAIRED BOX PROTEIN PAX-5,M96944_at
2410,MYELIN TRANSCRIPTION FACTOR 1,M96980_at
2411,SPLICING FACTOR U2AF 35 KD SUBUNIT,M96982_at
2412,SATB1 Special AT-rich sequence binding protein 1 (binds to nuclear matrix/scaffold-associating DNA's),M97287_at
2413,DR1 Down-regulator of transcription 1; TBP-binding (negative cofactor 2),M97388_at
2414,GUCA2 Guanylate cyclase activator 2 (guanylin; intestinal; heat-stable),M97496_at
2415,Transmembrane receptor (ror2) mRNA,M97639_at
2416,Protein tyrosine kinase t-Ror1 (Ror1) mRNA,M97675_at
2417,CRABP2 Cellular retinoic acid-binding protein 2,M97815_at
2418,NASP Nuclear autoantigenic sperm protein (histone-binding),M97856_at
2419,Defensin 5 gene,M97925_rna1_at
2420,SIGNAL TRANSDUCER AND ACTIVATOR OF TRANSCRIPTION 1-ALPHA/BETA,M97936_at
2421,Folylpolyglutamate synthetase mRNA,M98045_at
2422,Amplaxin (EMS1) mRNA,M98343_at
2423,Keratinocyte transglutaminase gene,M98447_rna1_at
2424,BRAIN NEURON CYTOPLASMIC PROTEIN 1,M98528_at
2425,Prostaglandin D2 synthase gene,M98539_at
2426,Keratin 1 gene,M98776_rna1_at
2427,FLI1 Friend leukemia virus integration 1,M98833_at
2428,KERATIN; TYPE II CYTOSKELETAL 2 ORAL,M99063_at
2429,PROSTATE-SPECIFIC MEMBRANE ANTIGEN,M99487_at
2430,P PROTEIN,M99564_at
2431,(pp21) mRNA,M99701_at
2432,HMOX2 Heme oxygenase (decycling) 2,S34389_at
2433,KLK1 Kallikrein 1 (renal/pancreas/salivary) {alternative products},S39329_at
2434,CDH2 Cadherin 2; N-cadherin (neuronal),S42303_at
2435,CGMP-GATED CATION CHANNEL PROTEIN,S42457_at
2436,KERATIN; TYPE II CYTOSKELETAL 2 EPIDERMAL,S43646_at
2437,CRYAB Crystallin alpha-B,S45630_at
2438,Calcineurin A catalytic subunit [human; testis; mRNA; 2134 nt],S46622_at
2439,SERUM AMYLOID A-4 PROTEIN PRECURSOR,S48983_at
2440,HKR-T1,S50223_at
2441,CD34 CD34 antigen (hemopoietic progenitor cell antigen),S53911_at
2442,BTC Betacellulin,S55606_at
2443,CD68 CD68 antigen,S57235_at
2444,GB DEF = (T1)=elastin translocation allele {exon 28; translocation} [human; Genomic Mutant; 1300 nt],S57887_at
2445,75 kda infertility-related sperm protein [human; testis; mRNA Partial; 2427 nt],S58544_at
2446,Pp52,S58733_at
2447,RGS1 Regulator of G-protein signalling 1,S59049_at
2448,RYK RYK receptor-like tyrosine kinase,S59184_at
2449,ERBB3 V-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3 {alternative products},S61953_at
2450,Insulin receptor substrate-1 [human; skeletal muscle; mRNA; 5828 nt],S62539_at
2451,D10S102,S63912_at
2452,SP-10=intra-acrosomal protein {alternatively spliced} [human; liver; Genomic; 2339 nt 4 segments],S65583_rna1_at
2453,Actin depolymerizing factor [human; fetal brain; mRNA; 1452 nt],S65738_at
2454,RBP2,S66431_at
2455,ARR3 Arrestin 3; retinal (X-arrestin),S66793_at
2456,Heat shock protein HSP72 homolog [human; thyroid associated ophthalmopathy patient; mRNA Partial; 450 nt],S67070_at
2457,ASPA Aspartoacylase (aminoacylase 2; Canavan disease),S67156_at
2458,PCCB Propionyl Coenzyme A carboxylase; beta polypeptide,S67325_at
2459,HYALURONIDASE PRECURSOR,S67798_at
2460,ZNF75,S67970_at
2461,SLC9A1 Solute carrier family 9 (sodium/hydrogen exchanger); isoform 1 (antiporter; Na+/H+; amiloride sensitive),S68616_at
2462,Granulocyte colony-stimulating factor induced gene [human; CML patient; bone marrow mononuclear cells; mRNA; 833 nt],S69115_at
2463,Peroxisomal acyl-coenzyme A oxidase [human; liver; mRNA; 3086 nt],S69189_at
2464,Electron transfer flavoprotein-ubiquinone oxidoreductase [human; fetal liver; mRNA; 2124 nt],S69232_at
2465,Brush-1,S69790_at
2466,SNCB Synuclein; beta,S69965_at
2467,Glycogen synthase [human; liver; mRNA; 2912 nt],S70004_at
2468,ITGB3 Integrin; beta 3 (platelet glycoprotein IIIa; antigen CD61),S70348_at
2469,Thyroid-stimulating hormone alpha subunit [human; Genomic; 1327 nt 4 segments],S70585_rna1_at
2470,GB DEF = Glycine transporter type 1b [human; substantia nigra; mRNA; 2364 nt],S70609_at
2471,GB DEF = Cyclophilin C [human; kidney; mRNA; 883 nt],S71018_at
2472,GB DEF = Acetylcholinesterase {I4-E5 doman} [human; tumor cell lines; Genomic; 847 nt],S71129_at
2473,NEURAL CELL ADHESION MOLECULE; PHOSPHATIDYLINOSITOL-LINKED ISOFORM PRECURSOR,S71824_at
2474,CDC10 Cell division cycle 10 (homologous to CDC10 of S. cerevisiae,S72008_at
2475,PC Pyruvate carboxylase,S72370_at
2476,Platelet-derived endothelial cell growth factor mRNA,S72487_at
2477,H4(D10S170),S72869_at
2478,APK1 antigen,S72904_at
2479,GB DEF = Insulin-like growth factor II {intron 7} [human; Genomic; 1702 nt],S73149_at
2480,GB DEF = Insulin activator factor [human; pancreatic insulinoma; mRNA Partial; 2622 nt],S73205_at
2481,Brain-expressed HHCPA78 homolog [human; HL-60 acute promyelocytic leukemia cells; mRNA; 2704 nt],S73591_at
2482,CD39 CD39 antigen,S73813_at
2483,Nrf2,S74017_at
2484,IK,S74221_at
2485,Cellular retinoic acid-binding protein [human; skin; mRNA; 735 nt],S74445_at
2486,ADP-ribosyltransferase [human; skeletal muscle; mRNA; 1334 nt],S74683_at
2487,Antiquitin,S74728_at
2488,Matk=megakaryocyte-associated tyrosine kinase [human; Genomic; 2617 nt 13 segments],S75168_rna1_at
2489,E2F4 E2F transcription factor 4; p107/p130-binding,S75174_at
2490,Nucleoprotein interactor 1,S75295_at
2491,Josephin MJD1 mRNA; cds,S75313_at
2492,ELONGATION FACTOR TU; MITOCHONDRIAL PRECURSOR,S75463_at
2493,GB DEF = Gamma-aminobutyric acid transporter type 3 [human; fetal brain; mRNA; 1991 nt],S75989_at
2494,GB DEF = CNG2=cyclic nucleotide-gated cation channel [human; peripheral leucocytes; Genomic; 784 nt],S76067_at
2495,NTRK3 Neurotrophic tyrosine kinase; receptor; type 3 (TrkC),S76475_at
2496,BLK Protein-tyrosine kinase blk,S76617_at
2497,Protein kinase inhibitor [human; neuroblastoma cell line SH-SY-5Y; mRNA; 2147 nt],S76965_at
2498,VAV2 Vav 2 oncogene,S76992_at
2499,Muscle acetylcholine receptor alpha-subunit,S77094_at
2500,GB DEF = Transcript ch21=oligomycin sensitivity conferral protein oscp homolog [human; RF1;RF48 stomach cancer cell lines; mRNA; 262 nt],S77356_at
2501,GB DEF = Transcript ch132 [human; RF1;RF48 stomach cancer cell lines; mRNA; 216 nt],S77361_at
2502,GB DEF = Transcript ch138 [human; RF1;RF48 stomach cancer cell lines; mRNA; 235 nt],S77393_at
2503,Melanocortin-4 receptor [human; Genomic; 1671 nt],S77415_at
2504,GB DEF = ERV9 reverse transcriptase homolog {clone RT11} [human; multiple sclerosis; brain plaques; mRNA Partial; 84 nt],S77575_at
2505,GB DEF = ERV9 reverse transcriptase homolog {clone RT18} [human; multiple sclerosis; brain plaques; mRNA Partial; 84 nt],S77576_at
2506,GB DEF = HERVK10/HUMMTV reverse transcriptase homolog {clone RT244} [human; multiple sclerosis; brain plaques; mRNA Partial; 90 nt],S77583_at
2507,NF-E2 protein (NF-E2) mRNA,S77763_at
2508,FLT1 Fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor),S77812_at
2509,PDCD2 Programmed cell death 2,S78085_at
2510,M-PHASE INDUCER PHOSPHATASE 2,S78187_at
2511,PEPT 2,S78203_at
2512,Neurofilament-66 [human; fetal brain; mRNA; 3197 nt],S78296_at
2513,Un-named-transcript-1 from  SAS=transmembrane 4 protein {5' region} [human; sarcomas; Genomic; 390 nt]./ntype=DNA /annot=mRNA,S78432_xpt1_at
2514,LAMA4 Laminin; alpha 4,S78569_at
2515,GB DEF = Mrg=mas-related [human; Genomic; 2416 nt],S78653_at
2516,5-HT2AR=serotonin 5-HT2A receptor {promoter} [human; Genomic; 1678 nt],S78723_rna2_at
2517,GB DEF = LPRP=pHL E1F1 [human; lacrimal gland; mRNA Partial; 507 nt],S79048_at
2518,CD4 CD4 antigen (p55),S79267_at
2519,GB DEF = Pancreatic ribonuclease [human; mRNA Recombinant Partial; 491 nt],S79281_at
2520,UBA52 Ubiquitin A-52 residue ribosomal protein fusion product 1,S79522_at
2521,EXT1 Exostoses (multiple) 1,S79639_at
2522,GB DEF = WT1 {antisense promoter; intron 1} [human; kidney; Genomic; 780 nt],S79781_at
2523,Type 3 iodothyronine deiodinase,S79854_at
2524,GB DEF = UDP-N-acetylglucosamine: alpha-6-D-mannoside beta-1;6-N-acetylglucosaminyltransferase V|GlcNAc transferase V {5' region} [human; peripheral blood; Genomic; 1972 nt],S80050_at
2525,ITGB7 Integrin beta-7 subunit,S80335_at
2526,RARS Arginyl-tRNA synthetase,S80343_at
2527,CNN3 Calponin 3; acidic,S80562_at
2528,L-UBC,S81003_at
2529,<beta>-ADD gene extracted from beta -ADD=adducin beta subunit 63 kda isoform/membrane skeleton protein;  beta -ADD=adducin beta subunit 63 kda isoform/membrane skeleton protein {alternatively spliced; exon 10 to 13 region} [human; Genomic; 4499 nt 3 segments],S81083_cds1_at
2530,LANOSTEROL SYNTHASE,S81221_at
2531,GB DEF = DCC=deleted in colorectal cancer {alternatively spliced; exon 1A} [human; brain tumor; tumor no. 245; mRNA Partial; 216 nt],S81294_at
2532,GB DEF = Dystrophin; dystrophin {Purkinje promoter; alternatively spliced} [human; cortical brain and adult heart; mRNA Partial; 377 nt],S81419_at
2533,TGF-beta inducible early protein (TIEG) mRNA,S81439_at
2534,GB DEF = Dioxin-responsive gene {putative polyadenylation signal region} [human; hepatoma G2 cell line; mRNA Partial; 302 nt],S81578_at
2535,GB DEF = MESI3/15=extracellular matrix induced gene [human; endometrial adenocarcinoma cells HEC1B(L); mRNA Partial; 453 nt],S81893_at
2536,IEX-1,S81914_at
2537,Phosphoglycerate kinase {alternatively spliced} [human; phosphoglycerate kinase deficient patient with episodes of muscl; mRNA Partial Mutant; 307 nt],S81916_at
2538,GABRA6 Gamma-aminobutyric acid (GABA) A receptor; alpha 6,S81944_at
2539,GB DEF = BMP-5=bone morphogenic protein-5 {promoter} [human; Genomic; 1116 nt],S81957_at
2540,SCG10,S82024_at
2541,GB DEF = PA4=candidate oncogene {3' region} [human; HEN-16; HEN-16T transformed endocervical cell lines; mRNA Partial; 315 nt],S82075_at
2542,GB DEF = Escherichia coli unknown mRNA,S82185_at
2543,Caldecrin,S82198_at
2544,RhoE,S82240_at
2545,BB1,S82470_at
2546,GB DEF = Beta -pol=DNA polymerase beta {exon alpha to exon VII region} [human; Genomic; 124 nt; segment 1 of 2],S82472_at
2547,Evi-1,S82592_at
2548,BPLP,S83198_at
2549,GB DEF = NG-TRA=transporter protein/putative hormone extrusion pump [human; liver and various other tissues; mRNA Partial; 377 nt],S83249_at
2550,SOX5,S83308_at
2551,GB DEF = Putative Rab5-interacting protein {clone L1-57} [human; HeLa cells; mRNA Partial; 366 nt],S83364_at
2552,GB DEF = Putative Rab5-interacting protein {clone L1-94} [human; HeLa cells; mRNA Partial; 369 nt],S83365_at
2553,Description: orf1 gene extracted from region centromeric to t(12;17) brakepoint: orf1/unknown 43 amino acid transcript...orf3/unknown 50 amino acid transcript [human; testis; acampomelic campomelic dysplasia and sex reversal patient; Genomic; 3 genes; 3414 nt],S83366_cds1_at
2554,Description: orf3 gene extracted from region centromeric to t(12;17) brakepoint: orf1/unknown 43 amino acid transcript...orf3/unknown 50 amino acid transcript [human; testis; acampomelic campomelic dysplasia and sex reversal patient; Genomic; 3 genes; 3414 nt],S83366_cds3_at
2555,GB DEF = Na+/H+ exchanger isoform NHE-2 [human; various tissues; mRNA Partial; 595 nt],S83549_at
2556,PHB Prohibitin,S85655_at
2557,Insulin receptor substrate-1 [human; skeletal muscle; mRNA; 5828 nt],S85963_at
2558,Protein phosphatase 2C alpha [human; teratocarcinoma; mRNA; 2346 nt],S87759_at
2559,Cytochrome P450 reductase [human; placenta; mRNA Partial; 2403 nt],S90469_at
2560,GB DEF = TCR eta =T cell receptor eta-exon [human; Genomic; 806 nt],S94421_at
2561,TF Transferrin,S95936_at
2562,BCL6 B cell lymphoma protein 6 (zinc finger protein 51),U00115_at
2563,Glutamine PRPP amidotransferase (GPAT) mRNA complete cds,U00238_rna1_at
2564,IL10R Interleukin 10 receptor,U00672_at
2565,LST1 mRNA; cLST1/E splice variant,U00921_at
2566,Clone CE29 8.1 (CAC)n/(GTG)n repeat-containing mRNA,U00930_at
2567,GB DEF = Clone A9A2BRB2 (CAC)n/(GTG)n repeat-containing mRNA,U00943_at
2568,Clone A9A2BRB6 (CAC)n/(GTG)n repeat-containing mRNA,U00944_at
2569,Clone A9A2BRB5 (CAC)n/(GTG)n repeat-containing mRNA,U00946_at
2570,Clone A9A2BR11 (CAC)n/(GTG)n repeat-containing mRNA,U00951_at
2571,Clone A9A2BRB7 (CAC)n/(GTG)n repeat-containing mRNA,U00952_at
2572,GB DEF = Clone CE29 7.2 (CAC)n/(GTG)n repeat-containing mRNA,U00954_at
2573,Clone KDB1.2 (CAC)n/(GTG)n repeat-containing mRNA,U00957_at
2574,SREBP-1 mRNA,U00968_at
2575,PLK mRNA,U01038_at
2576,ITPR3 Inositol 1;4;5-triphosphate receptor; type 3,U01062_at
2577,UGB Uteroglobin,U01102_at
2578,G6PT Glucose-6-phosphatase,U01120_at
2579,ABR Active BCR-related gene,U01147_at
2580,GLP1R Glucagon-like peptide 1 receptor,U01157_at
2581,Transmembrane 4 superfamily protein (SAS) mRNA,U01160_at
2582,GB DEF = Olfactory marker protein (OMP) gene,U01212_at
2583,Epsilon-globin gene extracted from Human beta globin region on chromosome 11,U01317_cds1_at
2584,Beta-globin thalassemia gene extracted from Human beta globin region on chromosome 11,U01317_cds6_at
2585,Glutamate transporter,U01824_at
2586,Nucleotide-binding protein mRNA,U01833_at
2587,P300 protein mRNA,U01877_at
2588,GB DEF = BTK region clone fci-12 mRNA,U01922_at
2589,BTK region clone ftp-3 mRNA,U01923_at
2590,Heterogeneous nuclear ribonucleoprotein D (hnRNP D); partial cds; clone cDx4,U02019_at
2591,Pre-B cell enhancing factor (PBEF) mRNA,U02020_at
2592,Sterol regulatory element binding protein-2 mRNA,U02031_at
2593,Guanine nucleotide regulatory protein (NET1) mRNA,U02081_at
2594,Guanine nucleotide regulatory protein (tim1) mRNA,U02082_at
2595,FKHR Homolog 1 of Drosophila forkhead (rhabdomyosarcoma),U02310_at
2596,54 kDa protein mRNA,U02493_at
2597,RP3 mRNA,U02556_at
2598,CDC42 GTPase-activating protein mRNA; partial cds,U02570_at
2599,Transducin-like protein mRNA,U02609_at
2600,TFIIIC Box B-binding subunit mRNA,U02619_at
2601,Calcium-activated potassium channel mRNA; partial cds,U02632_at
2602,Protein tyrosine kinase mRNA,U02680_at
2603,Growth factor receptor tyrosine kinase (STK-1) mRNA,U02687_at
2604,Hyaluronoglucosaminidase 1 (HYAL1) mRNA,U03056_at
2605,Actin bundling protein mRNA,U03057_at
2606,Ca2+-dependent phospholipase A2 mRNA,U03090_at
2607,CTNNA1 Catenin (cadherin-associated protein); alpha 1 (102kD),U03100_at
2608,B4-2 protein mRNA,U03105_at
2609,GB DEF = IL12 receptor component mRNA,U03187_at
2610,GB DEF = Centrin mRNA,U03270_at
2611,FBN2 Fibrillin 2,U03272_at
2612,BTD Biotinidase,U03274_at
2613,Receptor 4-1BB ligand mRNA,U03398_at
2614,T-complex protein 10A (TCP10A) mRNA,U03399_at
2615,GB DEF = Connexin40 gene,U03486_at
2616,P47 LBC oncogene mRNA,U03634_at
2617,G protein-coupled receptor APJ gene,U03642_at
2618,Recepin mRNA,U03644_at
2619,CYP1B1 Cytochrome P450 IB1 (dioxin-inducible),U03688_at
2620,Capping protein alpha mRNA; partial cds,U03851_at
2621,HEAT SHOCK 70 KD PROTEIN 1,U03877_at
2622,GS2 mRNA,U03886_at
2623,Phorbolin I mRNA; partial cds,U03891_at
2624,Monocyte chemoattractant protein 1 receptor (MCP-1RA) alternatively spliced mRNA,U03905_at
2625,MSH2 DNA repair protein MSH2,U03911_at
2626,Associated microfibrillar protein mRNA,U04209_at
2627,Putative potassium channel subunit (h-erg) mRNA,U04270_at
2628,PI5 Protease inhibitor 5 (maspin),U04313_at
2629,PSG11 gene (pregnancy-specific beta-1-glycoprotein 11 C-A domain) extracted from Human pregnancy-specific beta-1-glycoprotein alternatively spliced C-R; C-S; C-B; and C-A domains (PSG11) gene; partial cds,U04325_cds3_at
2630,CD86 CD86 antigen (CD28 antigen ligand 2; B7-2 antigen),U04343_at
2631,COL4A5 Collagen; type IV; alpha 5 (Alport syndrome),U04520_at
2632,Microsomal stress 70 protein ATPase core (stch) mRNA,U04735_at
2633,DbpB-like protein mRNA,U04810_at
2634,Trophinin mRNA,U04811_at
2635,Onconeural ventral antigen-1 (Nova-1) mRNA,U04840_at
2636,Ini1 mRNA,U04847_at
2637,RORA RAR-related orphan receptor A,U04898_at
2638,FUSE binding protein mRNA,U05040_at
2639,Rar protein mRNA,U05227_at
2640,Fetal Alz-50-reactive clone 1 (FAC1) mRNA,U05237_at
2641,MB-1 gene,U05259_rna1_at
2642,FMOD Fibromodulin,U05291_at
2643,X-linked PEST-containing transporter (XPCT) mRNA; partial cds,U05321_at
2644,P55CDC mRNA,U05340_at
2645,Ribosomal protein S1 homolog mRNA; partial cds,U05589_at
